id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,stage,2023-11-16 14:17:33+00:00,2023-11-16 14:17:33+00:00,2023-11-16 14:22:33+00:00,2.0
,-28800,,stage,2023-11-16 14:22:33+00:00,2023-11-16 14:22:33+00:00,2023-11-16 14:27:33+00:00,4.0
,-28800,,stage,2023-11-16 14:27:33+00:00,2023-11-16 14:27:33+00:00,2023-11-16 14:32:33+00:00,4.0
,-28800,,stage,2023-11-16 14:32:33+00:00,2023-11-16 14:32:33+00:00,2023-11-16 14:37:33+00:00,2.0
,-28800,,stage,2023-11-16 14:37:33+00:00,2023-11-16 14:37:33+00:00,2023-11-16 14:42:33+00:00,2.0
,-28800,,stage,2023-11-16 14:42:33+00:00,2023-11-16 14:42:33+00:00,2023-11-16 14:47:33+00:00,4.0
,-28800,,stage,2023-11-16 14:47:33+00:00,2023-11-16 14:47:33+00:00,2023-11-16 14:52:33+00:00,2.0
,-28800,,stage,2023-11-16 14:52:33+00:00,2023-11-16 14:52:33+00:00,2023-11-16 14:57:33+00:00,3.0
,-28800,,stage,2023-11-16 14:57:33+00:00,2023-11-16 14:57:33+00:00,2023-11-16 15:02:33+00:00,2.0
,-28800,,stage,2023-11-16 15:02:33+00:00,2023-11-16 15:02:33+00:00,2023-11-16 15:07:33+00:00,2.0
,-28800,,stage,2023-11-16 15:07:33+00:00,2023-11-16 15:07:33+00:00,2023-11-16 15:12:33+00:00,2.0
,-28800,,stage,2023-11-16 15:12:33+00:00,2023-11-16 15:12:33+00:00,2023-11-16 15:17:33+00:00,2.0
,-28800,,stage,2023-11-16 15:17:33+00:00,2023-11-16 15:17:33+00:00,2023-11-16 15:22:33+00:00,2.0
,-28800,,stage,2023-11-16 15:22:33+00:00,2023-11-16 15:22:33+00:00,2023-11-16 15:27:33+00:00,2.0
,-28800,,stage,2023-11-16 15:27:33+00:00,2023-11-16 15:27:33+00:00,2023-11-16 15:32:33+00:00,2.0
,-28800,,stage,2023-11-16 15:32:33+00:00,2023-11-16 15:32:33+00:00,2023-11-16 15:37:33+00:00,2.0
,-28800,,stage,2023-11-16 15:37:33+00:00,2023-11-16 15:37:33+00:00,2023-11-16 15:42:33+00:00,2.0
,-28800,,stage,2023-11-16 15:42:33+00:00,2023-11-16 15:42:33+00:00,2023-11-16 15:47:33+00:00,2.0
,-28800,,stage,2023-11-16 15:47:33+00:00,2023-11-16 15:47:33+00:00,2023-11-16 15:52:33+00:00,2.0
,-28800,,stage,2023-11-16 15:52:33+00:00,2023-11-16 15:52:33+00:00,2023-11-16 15:57:33+00:00,2.0
,-28800,,stage,2023-11-17 05:55:30+00:00,2023-11-17 05:55:30+00:00,2023-11-17 06:00:30+00:00,4.0
,-28800,,stage,2023-11-17 05:55:31+00:00,2023-11-17 05:55:31+00:00,2023-11-17 06:00:31+00:00,4.0
,-28800,,stage,2023-11-17 06:00:30+00:00,2023-11-17 06:00:30+00:00,2023-11-17 06:05:30+00:00,4.0
,-28800,,stage,2023-11-17 06:00:31+00:00,2023-11-17 06:00:31+00:00,2023-11-17 06:05:31+00:00,4.0
,-28800,,stage,2023-11-17 06:05:30+00:00,2023-11-17 06:05:30+00:00,2023-11-17 06:10:30+00:00,4.0
,-28800,,stage,2023-11-17 06:05:31+00:00,2023-11-17 06:05:31+00:00,2023-11-17 06:10:31+00:00,4.0
,-28800,,stage,2023-11-17 06:10:30+00:00,2023-11-17 06:10:30+00:00,2023-11-17 06:15:30+00:00,4.0
,-28800,,stage,2023-11-17 06:10:31+00:00,2023-11-17 06:10:31+00:00,2023-11-17 06:15:31+00:00,4.0
,-28800,,stage,2023-11-17 06:15:30+00:00,2023-11-17 06:15:30+00:00,2023-11-17 06:20:30+00:00,2.0
,-28800,,stage,2023-11-17 06:15:31+00:00,2023-11-17 06:15:31+00:00,2023-11-17 06:20:31+00:00,2.0
,-28800,,stage,2023-11-17 06:20:30+00:00,2023-11-17 06:20:30+00:00,2023-11-17 06:25:30+00:00,2.0
,-28800,,stage,2023-11-17 06:20:31+00:00,2023-11-17 06:20:31+00:00,2023-11-17 06:25:31+00:00,2.0
,-28800,,stage,2023-11-17 06:25:30+00:00,2023-11-17 06:25:30+00:00,2023-11-17 06:30:30+00:00,2.0
,-28800,,stage,2023-11-17 06:25:31+00:00,2023-11-17 06:25:31+00:00,2023-11-17 06:30:31+00:00,2.0
,-28800,,stage,2023-11-17 06:30:30+00:00,2023-11-17 06:30:30+00:00,2023-11-17 06:35:30+00:00,1.0
,-28800,,stage,2023-11-17 06:30:31+00:00,2023-11-17 06:30:31+00:00,2023-11-17 06:35:31+00:00,1.0
,-28800,,stage,2023-11-17 06:35:30+00:00,2023-11-17 06:35:30+00:00,2023-11-17 06:40:30+00:00,2.0
,-28800,,stage,2023-11-17 06:35:31+00:00,2023-11-17 06:35:31+00:00,2023-11-17 06:40:31+00:00,2.0
,-28800,,stage,2023-11-17 06:40:30+00:00,2023-11-17 06:40:30+00:00,2023-11-17 06:45:30+00:00,1.0
,-28800,,stage,2023-11-17 06:40:31+00:00,2023-11-17 06:40:31+00:00,2023-11-17 06:45:31+00:00,1.0
,-28800,,stage,2023-11-17 06:45:30+00:00,2023-11-17 06:45:30+00:00,2023-11-17 06:50:30+00:00,1.0
